fips,county,state,population,matched_to_treated_fips,dc_check,notes
01001,Autauga County,AL,55380,01071,clean,
01003,Baldwin County,AL,212830,01089,clean,
01031,Coffee County,AL,51662,01071,clean,
01033,Colbert County,AL,54771,01071,clean,
01045,Dale County,AL,49277,01071,clean,
01097,Mobile County,AL,414114,01089,minor_colo_noted,"Only small colocation: Lumen 'Mobile 1' at 50 N. Lawrence St (~1,829 sqft) and a tw telecom facility at 63 S. Royal St. No hyperscale or large cluster; unlikely to move county-level outcomes for a 414"
01101,Montgomery County,AL,226941,01089,clean,"future_dc_2023plus: Meta hyperscale AI data center campus in Montgomery. Expanding to ~1.3M sqft, investment raised to $1.5B+ (part of $3B+ Meta AL footprint with 227MW renewable energy). First facility expected live end"
01117,Shelby County,AL,213432,01089,clean,"future_dc_2023plus: Wilsonville Hyperscale Data Center: proposed 3.1M sqft, 1,008 MW, 14 buildings on 687 acres near Gaston Steam Plant. Plus the ~$200M DigiPower-X project in Columbiana (prompting new local DC zoning ru"
04015,Mohave County,AZ,207695,32031,clean,cross-state fill for NV (NV shortfall)
04019,Pima County,AZ,1027207,04013,clean,"future_dc_2023plus: Project Blue: $3.6B hyperscale data center, ~290-acre site near Pima County Fairgrounds, up to 10 buildings / ~2M sqft. Developed by Beale Infrastructure; construction began April 24, 2026. Pima Count"
04021,Pinal County,AZ,432793,04013,clean,"future_dc_2023plus: Watch-list county confirmed. Vermaland Data Center Park (La Osa) near Eloy: up to 3 GW on ~3,300 acres, ~$33B, announced Sept 2025, focused on hyperscale/AI. Multiple additional large proposals (one ~"
04025,Yavapai County,AZ,228067,04013,clean,
04027,Yuma County,AZ,209468,04013,clean,
06013,Contra Costa County,CA,1142251,06001,clean,"future_dc_2023plus: AVAIO Digital 'Perseus' hyperscale data center campus in Pittsburg (former Delta View Golf Course / Pittsburg Technology Park). Initial 92 MW facility, ~$800M, approved and began construction in 2025 "
06019,Fresno County,CA,984521,06001,minor_colo_noted,"Only small colocation/carrier facilities found: ~3 facilities totaling roughly 2 MW, providers CyrusOne (1 site) and Lumen (2). No hyperscale or large multi-operator cluster. Too small to plausibly mo"
13015,Bartow County,GA,104919,13217,clean,"future_dc_2023plus: Switch 'KEEP 2.0' Atlanta North hyperscale campus near Cartersville, PLUS 'Project Bunkhouse', an ~8.6-8.7M sq ft / 876-acre data center campus estimated at ~$19B with projected $40-50M/yr in property"
13113,Fayette County,GA,112303,13217,clean,"future_dc_2023plus: QTS 'Project Excalibur' near Fayetteville/Peachtree City, billed as the world's largest multi-tenant data center campus: 615 acres, up to 16 buildings, ~7M sq ft, ~$1B investment; construction started"
13115,Floyd County,GA,97369,13217,clean,"backfill replacing in-panel-contaminated 13313 (Whitfield County, Georgia)"
13185,Lowndes County,GA,115364,13217,clean,
19013,Black Hawk County,IA,132393,19153,minor_colo_noted,"Only modest facilities: Wahawk Power data center (~80,000 SF, ~$6M value) in South Waterloo Business Park and Connect Cedar Valley (~24,000 SF) in Cedar Falls. No hyperscale; major Iowa hyperscale act"
19103,Johnson County,IA,148577,19153,clean,
19113,Linn County,IA,223861,19153,clean,"future_dc_2023plus: Two major hyperscale campuses in Cedar Rapids: Google (~$576M, Big Cedar Industrial Park) and QTS (~$750M, 612-acre site, broke ground Aug 2025), combined >$1.3B. Plus Google's proposed six-building c"
19163,Scott County,IA,172446,19153,clean,"future_dc_2023plus: Meta (via shell Vemerald LLC) owns a 328-acre site in Davenport (Hillandale Rd & Enterprise Way) for an approved two-hall, ~715,000 sq ft campus, ~$420-800M, IEDA-approved. NOTE: as of June 2026 the l"
17097,Lake County,IL,701473,17037,clean,"backfill replacing in-panel-contaminated 17043 (DuPage County, Illinois)"
17115,Macon County,IL,105528,17037,clean,
18039,Elkhart County,IN,204558,18141,clean,"future_dc_2023plus: Bristol data center campus (Province Group for an undisclosed tech firm): $1 billion, ~1 million sq ft on ~247 acres; rezoned (2024) and town annexed ~500+ acres, moving forward as of 2026. Additional"
18057,Hamilton County,IN,323117,18003,clean,"future_dc_2023plus: Westfield Data Center Campus (Servistar Industrial Way, Westfield, Hamilton County): proposed $2.7 billion, ~2.7 million sq ft, 10 three-story buildings built out over 13-18 years; received Indiana da"
29077,Greene County,MO,289756,29047,minor_colo_noted,"Bluebird Underground Data Center in Springfield: ~80,000 sq ft underground colocation facility (~25,000 sq ft colo space) built in a former limestone mine, operated by Bluebird Network. Single modest "
29099,Jefferson County,MO,223951,29047,clean,"future_dc_2023plus: Festus $6 billion CRG/Clayco data center (likely hyperscale), ~360 acres north of Highway 67. Festus City Council approved the framework ordinance 6-2 on March 30, 2026; developer says it has vested r"
37001,Alamance County,NC,163324,37035,clean,
37031,Carteret County,NC,69070,37161,clean,
37057,Davidson County,NC,165381,37035,clean,
37069,Franklin County,NC,66362,37161,clean,
37135,Orange County,NC,144836,37035,clean,
37151,Randolph County,NC,143118,37035,clean,
37163,Sampson County,NC,63385,37161,clean,
37193,Wilkes County,NC,68469,37161,clean,
31053,Dodge County,NE,36665,31153,clean,
